Episode,Reward,Steps
0,-24.550000000000004,42
1,-2.65,16
2,-11.650000000000002,24
3,-95.45000000000003,64
4,-11.950000000000003,32
5,-3.75,18
6,0.75,6
7,-18.55,34
8,-0.8499999999999999,12
9,0.75,6
10,-5.750000000000001,22
11,0.75,6
12,-4.750000000000001,22
13,0.35,8
14,-51.949999999999996,44
15,0.75,6
16,0.75,6
17,0.75,6
18,0.75,6
19,0.75,6
20,0.75,6
21,0.75,6
22,0.75,6
23,0.5,8
24,0.75,6
25,0.75,6
26,-23.750000000000004,40
27,0.75,6
28,-0.9499999999999997,14
29,0.75,6
30,0.75,6
31,0.75,6
32,0.75,6
33,0.75,6
34,0.75,6
35,0.75,6
36,0.75,6
37,-22.55,38
38,-0.3500000000000001,12
39,-4.3500000000000005,20
40,0.75,6
41,0.75,6
42,-6.550000000000001,24
43,0.75,6
44,0.5,8
45,0.75,6
46,0.75,6
47,0.75,6
48,0.75,6
49,0.75,6
50,0.34999999999999987,8
51,-5.35,22
52,-77.55000000000003,64
53,-3.3500000000000005,18
54,-2.9499999999999997,20
55,0.34999999999999987,8
56,0.75,6
57,0.75,6
58,0.75,6
59,0.75,6
60,-0.4500000000000002,10
61,0.75,6
62,0.75,6
63,0.75,6
64,0.34999999999999987,8
65,0.75,6
66,-1.25,12
67,0.75,6
68,0.75,6
69,0.75,6
70,0.75,6
71,0.75,6
72,0.75,6
73,0.75,6
74,0.75,6
75,0.75,6
76,0.75,6
77,0.35,8
78,0.75,6
79,0.75,6
80,0.75,6
81,0.75,6
82,0.75,6
83,0.34999999999999987,8
84,0.75,6
85,0.75,6
86,0.75,6
87,0.75,6
88,0.75,6
89,0.75,6
90,0.75,6
91,0.75,6
92,0.75,6
93,0.75,6
94,0.75,6
95,0.75,6
96,0.75,6
97,0.75,6
98,0.75,6
99,0.75,6
