Episode,Reward,Steps,Game Status
0,0.35,14,1
1,0.35,14,1
2,0.35,14,1
3,0.35,14,1
4,-0.05000000000000049,16,1
5,0.35,14,1
6,0.35,14,1
7,0.35,14,1
8,-0.050000000000000044,16,1
9,0.35,14,1
10,0.35,14,1
11,0.35,14,1
12,0.35,14,1
13,0.35,14,1
14,-0.050000000000000044,16,1
15,0.35,14,1
16,0.35,14,1
17,0.35,14,1
18,0.35,14,1
19,0.35,14,1
20,0.35,14,1
21,0.35,14,1
22,0.35,14,1
23,0.35,14,1
24,0.35,14,1
25,0.35,14,1
26,0.35,14,1
27,0.35,14,1
28,0.35,14,1
29,0.09999999999999964,16,1
30,0.35,14,1
31,0.35,14,1
32,0.35,14,1
33,0.35,14,1
34,-0.05000000000000049,16,1
35,0.35,14,1
36,0.35,14,1
37,0.35,14,1
38,0.35,14,1
39,-0.050000000000000044,16,1
40,0.35,14,1
41,0.35,14,1
42,0.35,14,1
43,0.35,14,1
44,0.35,14,1
45,0.35,14,1
46,0.35,14,1
47,0.35,14,1
48,0.35,14,1
49,0.35,14,1
50,-0.05000000000000049,16,1
51,0.35,14,1
52,0.35,14,1
53,0.35,14,1
54,0.35,14,1
55,0.35,14,1
56,0.35,14,1
57,0.35,14,1
58,0.35,14,1
59,0.35,14,1
60,0.35,14,1
61,0.09999999999999987,16,1
62,0.35,14,1
63,0.35,14,1
64,0.35,14,1
65,-0.15000000000000013,18,1
66,0.35,14,1
67,0.2499999999999999,16,1
68,0.35,14,1
69,0.35,14,1
70,0.35,14,1
71,0.35,14,1
72,0.35,14,1
73,0.35,14,1
74,0.35,14,1
75,0.35,14,1
76,0.35,14,1
77,0.35,14,1
78,0.35,14,1
79,0.35,14,1
80,0.35,14,1
81,0.35,14,1
82,0.35,14,1
83,0.35,14,1
84,0.35,14,1
85,0.35,14,1
86,-0.05000000000000049,16,1
87,0.35,14,1
88,0.35,14,1
89,0.35,14,1
90,0.35,14,1
91,0.35,14,1
92,0.35,14,1
93,0.35,14,1
94,0.35,14,1
95,0.35,14,1
96,0.35,14,1
97,0.35,14,1
98,0.35,14,1
99,0.35,14,1
